Date,Title,URL,FileName,md_file
2026-04-24,ISO-GHG Protocol Product-Level Carbon Accounting: Whatâ€™s Next?,https://hub.wri.org/iso-ghg-protocol-product-level-carbon-accounting-whats-next?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,9_www.wri.org-events.md,1.md
2026-04-28,The Latest Trends in Global Emissions,https://hub.wri.org/latest-trends-global-emissions?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,9_www.wri.org-events.md,2.md
2026-04-30,"Frontline Climate Defenders: A Call for Recognition, Inclusion and Protection",https://hub.wri.org/events/2026/4/frontline-climate-defenders-call-recognition-inclusion-and-protection#register,9_www.wri.org-events.md,3.md
2026-04-27,OECD Skills Summit 2026,https://www.oecd.org/en/events/2026/04/oecd-skills-summit-2026.html,15_www.oecd.org-en-search-events.html.md,4.md
2026-04-27,Accelerating industrial transformation: How countries can unlock investment,https://www.oecd.org/en/events/2026/04/accelerating-industrial-transformation-how-countries-can-unlock-investment.html,15_www.oecd.org-en-search-events.html.md,5.md
2026-04-27,OECD Skills Summit,https://www.oecd.org/en/events/skills-summit.html,15_www.oecd.org-en-search-events.html.md,6.md
2026-04-28,OECD Critical Minerals Forum,https://www.oecd.org/en/events/2026/04/oecd-critical-minerals-forum.html,15_www.oecd.org-en-search-events.html.md,7.md
2026-04-30,ERM webinar: Managing Water Constraints in Data Center and Semiconductor Growth,https://www.erm.com/about/events/water-stewardship-in-hyperscale-data-centre-development/,13_www.erm.com-about-events.md,8.md
2026-04-28,MEW Marine Energy Wales Conference 2026,https://www.erm.com/about/events/mew-marine-energy-wales-conference--2026/,13_www.erm.com-about-events.md,9.md
2026-04-27,Chem Logistics & SCM Summit 2026,https://www.erm.com/about/events/chem-logistics--scm-summit-2026/,13_www.erm.com-about-events.md,10.md
2026-04-24,Webinar - What the Star Entertainment decision means for boards and executives,https://www.governanceinstitute.com.au/events/e10495-webinar-what-the-star-entertainment-decision-means-for-boards-and-executives/,5_www.governanceinstitute.com.au-events.md,11.md
2026-04-27,VIC Member Exchange - Sustainability,https://www.governanceinstitute.com.au/events/e10469-vic-member-exchange-sustainability/,5_www.governanceinstitute.com.au-events.md,12.md
2026-04-30,Sydney Members & Friends Coffee Catch-up,https://www.governanceinstitute.com.au/events/e10245-sydney-members-friends-coffee-catch-up/,5_www.governanceinstitute.com.au-events.md,13.md
2026-04-30,QLD Roundtable: AASB S2 - Lessons from the first wave of mandatory climate statements,https://www.governanceinstitute.com.au/events/e10437-qld-roundtable-aasb-s2-lessons-from-the-first-wave-of-mandatory-climate-statements/,5_www.governanceinstitute.com.au-events.md,crawl_failure
